kod,opis
BAAIV2_U,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Wartości niematerialne i prawne | Umorzenie wartości inwestycji długoterminowych w wartości niematerialne i prawne
BAAIV3a_ULA_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Udziały lub akcje
BAAIV3a_ULA_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Udziały lub akcje | Odpisy aktualizujące wartość udziałów lub akcji w jednostkach powiązanych
BAAIV3a_IPW_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Inne papiery wartościowe
BAAIV3a_IPW_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Inne papiery wartościowe | Odpisy aktualizujące wartość innych papierów wartościowych w jednostkach powiązanych
BAAIV3a_UP_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Udzielone pożyczki
BAAIV3a_UP_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Udzielone pożyczki | Odpisy aktualizujące wartość udzielonych pożyczek w jednostkach powiązanych
BAAIV3a_IDAF_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Inne długoterminowe aktywa finansowe
BAAIV3a_IDAF_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W jednostkach powiązanych | Inne długoterminowe aktywa finansowe | Odpisy aktualizujące wartość innych długoterminowych aktywów finansowych w jednostkach powiązanych
BAAIV3b_ULA_W,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Udziały lub akcje"
BAAIV3b_ULA_A,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Udziały lub akcje | Odpisy aktualizujące wartość udziałów lub akcji w pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale"
BAAIV3b_IPW_W,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Inne papiery wartościowe"
BAAIV3b_IPW_A,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Inne papiery wartościowe | Odpisy aktualizujące wartość innych papierów wartościowych w pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale"
BAAIV3b_UP_W,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Udzielone pożyczki"
BAAIV3b_UP_A,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Udzielone pożyczki | Odpisy aktualizujące wartość udzielonych pożyczek w pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale"
BAAIV3b_IDAF_W,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Inne długoterminowe aktywa finansowe"
BAAIV3b_IDAF_A,"AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale | Inne długoterminowe aktywa finansowe | Odpisy aktualizujące wartość innych długoterminowych aktywów finansowych w pozostałych jednostkach, w których jednostka posiada zaangażowanie w kapitale"
BAAIV3c_ULA_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Udziały lub akcje
BAAIV3c_ULA_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Udziały lub akcje | Odpisy aktualizujące wartość udziałów lub akcji w pozostałych jednostkach
BAAIV3c_IPW_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Inne papiery wartościowe
BAAIV3c_IPW_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Inne papiery wartościowe | Odpisy aktualizujące wartość innych papierów wartościowych w pozostałych jednostkach
BAAIV3c_UP_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Udzielone pożyczki
BAAIV3c_UP_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Udzielone pożyczki | Odpisy aktualizujące wartość udzielonych pożyczek w pozostałych jednostkach
BAAIV3c_IDAF_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Inne długoterminowe aktywa finansowe
BAAIV3c_IDAF_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Długoterminowe aktywa finansowe | W pozostałych jednostkach | Inne długoterminowe aktywa finansowe | Odpisy aktualizujące wartość innych długoterminowych aktywów finansowych w pozostałych jednostkach
BAAIV4_W,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Inne inwestycje długoterminowe
BAAIV4_A,AKTYWA | Aktywa trwałe | Inwestycje długoterminowe | Inne inwestycje długoterminowe | Odpisy aktualizujące wartość innych inwestycji długoterminowych
BAAV1_W,AKTYWA | Aktywa trwałe | Długoterminowe rozliczenia międzyokresowe | Aktywa z tytułu odroczonego podatku dochodowego
BAAV1_A,AKTYWA | Aktywa trwałe | Długoterminowe rozliczenia międzyokresowe | Aktywa z tytułu odroczonego podatku dochodowego | Odpisy aktualizujące aktywa z tytułu odroczonego podatku dochodowego
BAAV2_W,AKTYWA | Aktywa trwałe | Długoterminowe rozliczenia międzyokresowe | Inne rozliczenia międzyokresowe
