kod,opis
BPBI3_K,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rezerwy na zobowiązania | Pozostałe rezerwy | Krótkoterminowe
BPBII1,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec jednostek powiązanych
BPBII2,"PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale"
BPBII3a,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec pozostałych jednostek | Kredyty i pożyczki
BPBII3b,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec pozostałych jednostek | Z tytułu emisji dłużnych papierów wartościowych
BPBII3c,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec pozostałych jednostek | Inne zobowiązania finansowe
BPBII3d,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec pozostałych jednostek | Zobowiązania wekslowe
BPBII3e,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania długoterminowe | Wobec pozostałych jednostek | Inne
BPBIII1a_D12,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec jednostek powiązanych | Z tytułu dostaw i usług | O okresie wymagalności do 12 miesięcy
BPBIII1a_P12,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec jednostek powiązanych | Z tytułu dostaw i usług | O okresie wymagalności powyżej 12 miesięcy
BPBIII1b,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec jednostek powiązanych | Inne
BPBIII2a_D12,"PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Z tytułu dostaw i usług | O okresie wymagalności do 12 miesięcy"
BPBIII2a_P12,"PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Z tytułu dostaw i usług | O okresie wymagalności powyżej 12 miesięcy"
BPBIII2b,"PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek, w których jednostka posiada zaangażowanie w kapitale | Inne"
BPBIII3a,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Kredyty i pożyczki
BPBIII3b,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Z tytułu emisji dłużnych papierów wartościowych
BPBIII3c,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Inne zobowiązania finansowe
BPBIII3d_D12,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Z tytułu dostaw i usług | O okresie wymagalności do 12 miesięcy
BPBIII3d_P12,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Z tytułu dostaw i usług | O okresie wymagalności powyżej 12 miesięcy
BPBIII3e,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Zaliczki otrzymane na dostawy i usługi
BPBIII3f,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Zobowiązania wekslowe
BPBIII3g,"PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Z tytułu podatków, ceł, ubezpieczeń i innych świadczeń"
BPBIII3h,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Z tytułu wynagrodzeń
BPBIII3i,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Wobec pozostałych jednostek | Inne
BPBIII4,PASYWA | Zobowiązania i rezerwy na zobowiązania | Zobowiązania krótkoterminowe | Fundusze specjalne
BPBIV1,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rozliczenia międzyokresowe | Ujemna wartość firmy
BPBIV2_D,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rozliczenia międzyokresowe | Inne rozliczenia międzyokresowe | Długoterminowe
BPBIV2_K,PASYWA | Zobowiązania i rezerwy na zobowiązania | Rozliczenia międzyokresowe | Inne rozliczenia międzyokresowe | Krótkoterminowe
RPAI_RKAI_POW,"WYNIKOWE | Przychody netto ze sprzedaży i zrównane z nimi / przychody netto ze sprzedaży produktów, towarów i materiałów | Przychody netto ze sprzedaży produktów | Od jednostek powiązanych"
RPAI_RKAI_POZ,"WYNIKOWE | Przychody netto ze sprzedaży i zrównane z nimi / przychody netto ze sprzedaży produktów, towarów i materiałów | Przychody netto ze sprzedaży produktów | Od pozostałych jednostek"
RPAII,WYNIKOWE | Przychody netto ze sprzedaży i zrównane z nimi | Zmiana stanu produktów
RPAIII,WYNIKOWE | Przychody netto ze sprzedaży i zrównane z nimi | Koszt wytworzenia produktów na własne potrzeby
RPAIV_RKAII_POW,"WYNIKOWE | Przychody netto ze sprzedaży i zrównane z nimi / przychody netto ze sprzedaży produktów, towarów i materiałów | Przychody netto ze sprzedaży towarów i materiałów | Od jednostek powiązanych"
RPAIV_RKAII_POZ,"WYNIKOWE | Przychody netto ze sprzedaży i zrównane z nimi / przychody netto ze sprzedaży produktów, towarów i materiałów | Przychody netto ze sprzedaży towarów i materiałów | Od pozostałych jednostek"
RPBI,WYNIKOWE | Koszty działalności operacyjnej | Amortyzacja
RPBII,WYNIKOWE | Koszty działalności operacyjnej | Zużycie materiałów i energii
RPBIII,WYNIKOWE | Koszty działalności operacyjnej | Usługi obce
RPBIV_AKC,WYNIKOWE | Koszty działalności operacyjnej | Podatki i opłaty | Podatek akcyzowy
RPBIV_POZ,WYNIKOWE | Koszty działalności operacyjnej | Podatki i opłaty | Pozostałe podatki i opłaty
RPBV,WYNIKOWE | Koszty działalności operacyjnej | Wynagrodzenia
RPBVI,WYNIKOWE | Koszty działalności operacyjnej | Ubezpieczenia społeczne i inne świadczenia
RPBVI_E,WYNIKOWE | Koszty działalności operacyjnej | Ubezpieczenia społeczne i inne świadczenia | Emerytalne
RPBVII,WYNIKOWE | Koszty działalności operacyjnej | Pozostałe koszty rodzajowe
RPBVIII_RKBII_POW,"WYNIKOWE | Koszty działalności operacyjnej / koszty sprzedanych produktów, towarów i materiałów | Wartość sprzedanych towarów i materiałów | Dla jednostek powiązanych"
RPBVIII_RKBII_POZ,"WYNIKOWE | Koszty działalności operacyjnej / koszty sprzedanych produktów, towarów i materiałów | Wartość sprzedanych towarów i materiałów | Dla pozostałych jednostek"
RKBI_POW,"WYNIKOWE | Koszty sprzedanych produktów, towarów i materiałów | Koszt wytworzenia sprzedanych produktów | Jednostkom powiązanym"
RKBI_POZ,"WYNIKOWE | Koszty sprzedanych produktów, towarów i materiałów | Koszt wytworzenia sprzedanych produktów | Pozostałym jednostkom"
RKD,WYNIKOWE | Koszty sprzedaży
RKE,WYNIKOWE | Koszty ogólnego zarządu
RPDI_RKGI_POW,WYNIKOWE | Pozostałe przychody operacyjne | Przychody ze zbycia niefinansowych aktywów trwałych | Od jednostek powiązanych
RPDI_RKGI_POZ,WYNIKOWE | Pozostałe przychody operacyjne | Przychody ze zbycia niefinansowych aktywów trwałych | Od pozostałych jednostek
RPDII_RKGII,WYNIKOWE | Pozostałe przychody operacyjne | Dotacje
RPDIII_RKGIII,WYNIKOWE | Pozostałe przychody operacyjne | Aktualizacja wartości aktywów niefinansowych
RPDIV_RKGIV,WYNIKOWE | Pozostałe przychody operacyjne | Inne pozostałe przychody operacyjne
RPDIV_RKGIV_ZCP,WYNIKOWE | Pozostałe przychody operacyjne | Inne pozostałe przychody operacyjne | Ze zbycia zorganizowanej części przedsiębiorstwa
RPDIV_RKGIV_WF,WYNIKOWE | Pozostałe przychody operacyjne | Inne pozostałe przychody operacyjne | Odpis ujemnej wartości firmy
RPDIV_RKGIV_P,WYNIKOWE | Pozostałe przychody operacyjne | Inne pozostałe przychody operacyjne | Pozostałe
RPEI_RKHI_POW,WYNIKOWE | Pozostałe koszty operacyjne | Koszty zbycia niefinansowych aktywów trwałych | Dla jednostek powiązanych
RPEI_RKHI_POZ,WYNIKOWE | Pozostałe koszty operacyjne | Koszty zbycia niefinansowych aktywów trwałych | Dla pozostałych jednostek
RPEII_RKHII,WYNIKOWE | Pozostałe koszty operacyjne | Aktualizacja wartości aktywów niefinansowych
RPEIII_RKHIII,WYNIKOWE | Pozostałe koszty operacyjne | Inne
RPEIII_RKHIII_ZCP,WYNIKOWE | Pozostałe koszty operacyjne | Inne | Koszty zbycia zorganizowanej części przedsiębiorstwa
RPEIII_RKHIII_WF,WYNIKOWE | Pozostałe koszty operacyjne | Inne | Odpis wartości firmy
RPEIII_RKHIII_P,WYNIKOWE | Pozostałe koszty operacyjne | Inne | Pozostałe
RPGIa_RKJIa_POW_k,WYNIKOWE | Przychody finansowe | Dywidendy i udziały w zyskach | Od jednostek powiązanych | W których jednostka posiada zaangażowanie w kapitale
RPGIa_RKJIa_POW_p,WYNIKOWE | Przychody finansowe | Dywidendy i udziały w zyskach | Od jednostek powiązanych | W innych jednostkach powiązanych
RPGIb_RKJIb_POZ_k,WYNIKOWE | Przychody finansowe | Dywidendy i udziały w zyskach | Od pozostałych jednostek | W których jednostka posiada zaangażowanie w kapitale
RPGIb_RKJIb_POZ_p,WYNIKOWE | Przychody finansowe | Dywidendy i udziały w zyskach | Od pozostałych jednostek | W innych pozostałych jednostkach
RPGII_RKJII_POW,WYNIKOWE | Przychody finansowe | Odsetki | Od jednostek powiązanych
RPGII_RKJII_POZ,WYNIKOWE | Przychody finansowe | Odsetki | Od pozostałych jednostek
RPGIII_RKJIII_POW,WYNIKOWE | Przychody finansowe | Przychód z tytułu rozchodu aktywów finansowych | W jednostkach powiązanych
RPGIII_RKJIII_POZ,WYNIKOWE | Przychody finansowe | Przychód z tytułu rozchodu aktywów finansowych | W pozostałych jednostkach
RPGIV_RKJIV,WYNIKOWE | Przychody finansowe | Aktualizacja wartości aktywów finansowych
RPGV_RKJV_RK,WYNIKOWE | Przychody finansowe | Inne | Przychody z tytułu dodatnich różnic kursowych
RPGV_RKJV_POZ,WYNIKOWE | Przychody finansowe | Inne | Pozostałe
RPHI_RKKI_POW,WYNIKOWE | Koszty finansowe | Odsetki | Dla jednostek powiązanych
RPHI_RKKI_POZ,WYNIKOWE | Koszty finansowe | Odsetki | Dla pozostałych jednostek
RPHII_RKKII_POW,WYNIKOWE | Koszty finansowe | Koszty z tytułu rozchodu aktywów finansowych | W jednostkach powiązanych
RPHII_RKKII_POZ,WYNIKOWE | Koszty finansowe | Koszty z tytułu rozchodu aktywów finansowych | W pozostałych jednostkach
RPHIII_RKKIII,WYNIKOWE | Koszty finansowe | Aktualizacja wartości aktywów finansowych
RPHIV_RKKIV_RK,WYNIKOWE | Koszty finansowe | Inne | Koszty z tytułu ujemnych różnic kursowych
RPHIV_RKKIV_POZ,WYNIKOWE | Koszty finansowe | Inne | Pozostałe
RPJ_RKM_B,WYNIKOWE | Podatek dochodowy | Bieżący
RPJ_RKM_O,WYNIKOWE | Podatek dochodowy | Odroczony
RPK_RKN,WYNIKOWE | Pozostałe obowiązkowe zmniejszenia zysku (zwiększenia straty)
INNE,"Inne, niewskazane w słowniku"
